Influencer Name,Category,Subcategory,Country,Follower Count,Engagement Rate,Platform Used,Platforms,Content Format,Number of Deliverables,Deliverables per Month,Audience Demographics,Female %,Audience Country,Audience Interests,Past Performance,Audience Age
Adriene Mishler,Health & Fitness,Yoga,USA,12000000,0.035,"YouTube, Instagram","['YouTube', 'Instagram']","Yoga videos, guides",8–10/month,9,"70% Female, health-conscious, USA",70,USA,['health-conscious'],"Consistent yoga content, loyal following",
Alex Costa,Beauty,Men’s Grooming,Brazil/USA,4000000,0.025,"YouTube, Instagram","['YouTube', 'Instagram']","Grooming tips, fashion",6–8/month,7,"80% Male, 18–35, US & LATAM",20,LATAM,[],"Style-focused content, strong affiliate collabs",18–35
Ali Abdaal,Education,Online Learning,UK,4500000,0.032,"YouTube, Instagram","['YouTube', 'Instagram']",Productivity videos,10+/month,10,"Young professionals, UK/India/USA",50,USA,['young professionals'],Trusted for study/productivity content,
Ankur Warikoo,Technology,Startups,India,3800000,0.045,"Instagram, YouTube","['Instagram', 'YouTube']",Motivational reels,10–12/month,11,"60% Male, India, 18–35",40,India,[],"High trust, strong engagement on self-help posts",18–35
Avantgarde Vegan,Food,Vegan,UK,1500000,0.035,"YouTube, Instagram","['YouTube', 'Instagram']",Vegan recipes,6–8/month,7,"Ethical eaters, 70% Female, UK/US",70,UK,['ethical eaters'],"Creative visuals, great audience rapport",
Baba Ramdev,Health & Fitness,Yoga,India,2500000,0.02,"YouTube, TV, Instagram","['YouTube', 'TV', 'Instagram']","Yoga routines, health tips",10+/month,10,"Indian families, 30–55",50,India,['n families'],"Known for Patanjali tie-ins, widespread reach",30–55
BeYouNick,Beauty,Men’s Grooming,India,1500000,0.042,"YouTube, Instagram","['YouTube', 'Instagram']","Comedy, fashion skits",6–8/month,7,"65% Male, India, 18–30",35,India,[],"Strong youth appeal, consistent collabs",18–30
Bloody Osiris,Fashion,Streetwear,USA,700000,0.035,Instagram,['Instagram'],Fashion imagery,5–6/month,5.5,"Gen Z, fashion-forward, USA",50,USA,"['gen z', 'fashion-forward']","Avant-garde content, brand ambassador for Nike etc.",
Brad Mondo,Beauty,Haircare,USA,9000000,0.028,"TikTok, Instagram","['TikTok', 'Instagram']",Hair tutorials,6–8/month,7,"75% Female, USA, 16–34",75,USA,[],"Viral hair experiments, fun styling content",16–34
Bryanboy,Fashion,Luxury,Philippines,2000000,0.025,Instagram,['Instagram'],Fashion commentary,4–6/month,5,"Global fashionistas, LGBTQ+ friendly",50,LGBTQ,"['global fashionistas', 'lgbtq+ friendly']","Runway collaborations, long-time blogger",
